id,username,tweet,text_clean,waktu,tweet_link,sentiment
22,Aylin,"Aylin Aylin @AylinMasera172 · @ftth_lee @mynewshub and and @onnhafiz Kasihan dia. Kiri kanan ditariknya dari masalah di tambak johor, masalah jalanraya dan sekarang masalah di hospital pula. Itu belum lagi masalah  pencemaran air  di KongKong sana. 16 16 16",aylin aylin  lee and and kasihan kiri kanan tarik tambak johor jalanraya hospital cemar air kongkong,22-12-2023 10:29,https://x.com/AylinMasera172/status/1738039048294535253,negative
23,Kuyin,Kuyin Kuyin @SiKuyin · @SiKuyin Sementara ada juga inovasi PLN NP dalam upaya efisiensi  air  & penurunan beban  pencemaran air  dalam POLIZ yaitu Poppet Valve Optimizator 1 1 1 2 2 2,kuyin kuyin  inovasi pln np upaya efisiensi air turun beban cemar air poliz poppet valve optimizator,22-12-2023 10:10,https://x.com/SiKuyin/status/1738034239151759760,negative
24,Ratata,Ratata Ratata @ratatanununana · @ratatanununana Sementara ada juga inovasi PLN NP dalam upaya efisiensi  air  & penurunan beban  pencemaran air  dalam POLIZ yaitu Poppet Valve Optimizator 1 1 1 3 3 3,ratata ratata  inovasi pln np upaya efisiensi air turun beban cemar air poliz poppet valve optimizator,22-12-2023 10:06,https://x.com/ratatanununana/status/1738033331999252556,negative
28,Otak Udang,"Otak Udang Otak Udang @OtakUdangku · @Id2017Pg and and @DokterTifa Nanya niih. Anda tinggal di Jakarta tidak? 
Lihat lah kota Jakarta bebannya sudah terlalu berat. Jalan dimana mana macet, transportasi penuh sesak sudah tidak layak.  Pencemaran air . Kalau otak waras ibu kota memang harus pindah Bro 3 3 3 421 421 421",otak udang otak udang  and and nanya niih tinggal jakarta lihat kota jakarta beban berat jalan mana macet transportasi penuh sesak layak cemar air otak waras kota pindah bro,21-12-2023 10:16,https://x.com/OtakUdangku/status/1737673258869416185,negative
29,"IPAL BioSeven Septic tank, STP, WWTP, MBR + MBBR","IPAL BioSeven Septic tank, STP, WWTP, MBR + MBBR IPAL BioSeven Septic tank, STP, WWTP, MBR + MBBR @BioSevenOnline · Pencemaran  Limbah di Bengawan Solo Makin Sering, PDAM Solo Sudah 3 Kali Hentikan ... -  https:// #GoogleAlerts solo.tribunnews.com solo.tribunnews.com Pencemaran Limbah di Bengawan Solo Makin Sering, PDAM Solo Sudah 3 Kali Hentikan Produksi Air... Pencemaran Limbah di Bengawan Solo Makin Sering, PDAM Solo Sudah 3 Kali Hentikan Produksi Air... Supervisor IPAL Jurug dan Jebres Agung Susilo menerangkan sudah tiga kali pengolahan air baku terpaksa distop oleh petugas gegara air sungai tercemar Supervisor IPAL Jurug dan Jebres Agung Susilo menerangkan sudah tiga kali pengolahan air baku terpaksa distop oleh petugas gegara air sungai tercemar 25 25 25",ipal bioseven septic tank stp wwtp mbr mbbr ipal bioseven septic tank stp wwtp mbr mbbr  cemar limbah bengawan solo pdam solo kali henti solotribunnewscom solotribunnewscom cemar limbah bengawan solo pdam solo kali henti produksi air cemar limbah bengawan solo pdam solo kali henti produksi air supervisor ipal jurug jebres agung susilo terang kali olah air baku paksa stop tugas gegara air sungai cemar supervisor ipal jurug jebres agung susilo terang kali olah air baku paksa stop tugas gegara air sungai cemar,20-12-2023 10:07,https://x.com/BioSevenOnline/status/1737308611502875102,negative
31,POLSEK SENTOLO,POLSEK SENTOLO POLSEK SENTOLO @Humaspolseksen5 · @Humaspolseksen5 terkait ada indikasi  pencemaran air  dari limbah pabrik.(Senin 17/12/2023) 1 1 1,polsek sentolo polsek sentolo  kait indikasi cemar air limbah pabriksenin,18-12-2023 15:28,https://x.com/Humaspolseksen5/status/1736664636097999349,negative
36,Stephanie,"Stephanie Stephanie @RosemaryFrie124 · Pribumi berak di tambak/empang dianggap biasa, ngasih makan ikan. Rohingya berak di tambak dianggap  pencemaran air , jorok. Apa bedanya ee' pribumi ama Rohingya ampe segitunya, apa beracun, asam, korosif? NEG NEG @negativisme · Pantesan Warga makin sebel sama imigran Rohingnya, kok jorok amat ya? buang hajat di tambak milik warga, jijay banget... 0:59 0:59 127 127 127",stephanie stephanie  pribumi berak tambakempang anggap ngasih makan ikan rohingya berak tambak anggap cemar air jorok beda ee pribumi ama rohingya ampe segitunya racun asam korosif neg neg  pantesan warga sebel imigran rohingnya jorok ya buang hajat tambak milik warga jijay banget,17-12-2023 01:40,https://x.com/RosemaryFrie124/status/1736093984072880444,negative
38,d,"d d @aatletrebahan · info joki tugas artikel ilmiah tentang ""risiko dan upaya pengendalian  pencemaran air  oleh logam merkuri"" tp yg ga asal² an, pakai mendeley, plagiarisme rendah  #zonauangᅠ 12 12 12 2 2 2 286 286 286",d d  info joki tugas artikel ilmiah risiko upaya kendali cemar air logam merkuri tp yg ga asal an pakai mendeley plagiarisme rendah ,16-12-2023 16:07,https://x.com/aatletrebahan/status/1735949863903461456,negative
40,AVP 24/7,"AVP 24/7 AVP 24/7 @ceracausore · @kentvrama Ga sesederhana merebus  air , ada beberapa yg perlu diperhatikan, yg paling jelas keliatan ya merusak ekosistem sekitar,  pencemaran air , sama potensi ledakan gas beracun 1 1 1 1 1 1 884 884 884",avp avp  ga sederhana rebus air yg perhati yg liat ya rusak ekosistem cemar air potensi ledak gas racun,15-12-2023 21:23,https://x.com/ceracausore/status/1735666858261610779,negative
43,Kementerian PU,"Kementerian PU Kementerian PU @KemenPU · @KemenPU Pengembangan ketiga TPA ini menggunakan sistem sanitary landfill untuk meminimalisasi dampak  pencemaran air , tanah, maupun udara sehingga lebih ramah lingkungan. 1 1 1 1 1 1 68 68 68",menteri pu menteri pu  kembang tiga tpa sistem sanitary landfill minimal dampak cemar air tanah udara ramah lingkung,14-12-2023 22:02,https://x.com/KemenPU/status/1735314218910683190,negative
45,detikinet,"detikinet detikinet @detikinet · Sungai Yamuna merupakan salah satu sungai yang dihormati, namun masalah  pencemaran air  di sana ternyata sudah sangat membahayakan manusia.  https:// 885/yamuna-sungai-beracun-di-india-yang-mengerikan?utm_term=echoboxauto&utm_campaign=detikcomsocmed&utm_medium=oa&utm_content=detikinet&utm_source=Twitter#Echobox=1702475627 … 500 500 500",detikinet detikinet  sungai yamuna salah sungai hormat cemar air bahaya manusia yamunasungaiberacundiindiayangmengerikanutmtermechoboxautoutmcampaigndetikcomsocmedutmmediumoautmcontentdetikinetutmsourcetwitter ,13-12-2023 20:55,https://x.com/detikinet/status/1734935031167045931,negative
49,Banyoe Biroe,"Banyoe Biroe Banyoe Biroe @_Banyoe · Hampir semua industri berkontribusi terhadap  pencemaran air  dan udara, jika tidak ditangani, hal ini akan menyebabkan kerusakan lingkungan yang tidak dapat diperbaiki serta timbulkan bibit penyakit, Imagine! obat yang anda minum itu dari zat senyawa berasal dari minyak bumi. 1:26 1:26 21 21 21 23 23 23 987 987 987",banyoe biroe banyoe biroe banyoe  industri kontribusi cemar air udara tangan sebab rusa lingkung baik timbul bibit sakit imagine obat minum zat senyawa asal minyak bumi,12-12-2023 22:43,https://x.com/_Banyoe/status/1734599890725224454,negative
51,!!$_$yUh4d4,"!!$_$yUh4d4 !!$_$yUh4d4 @iis_syuhada2 · 27. Dan polusi   udara,  pencemaran air  
 
    dan pengelolaan sampah terkendali dengan baik,   ujarnya. #AMINku01 #AMINajadulu 1 1 1 25 25 25",yuhd yuhd syuhada  polusi udara cemar air kelola sampah kendali,12-12-2023 20:01,https://x.com/iis_syuhada2/status/1734559022135603645,negative
52,Buletin TV3,Buletin TV3 Buletin TV3 @BuletinTV3 · Pelaku  pencemaran air  Sungai Linggi diburu pihak berkuasa  air  Negeri Sembilan  https:// u-pencemaran-air-sungai-linggi-diburu-pihak-berkuasa-air-negeri-sembilan/ … 1 1 1 4 4 4 1.5K 1.5K 1.5K,buletin tv buletin tv  laku cemar air sungai linggi buru kuasa air negeri sembilan upencemaranairsungailinggidiburupihakberkuasaairnegerisembilan  k k k,12-12-2023 12:58,https://x.com/BuletinTV3/status/1734452654544404896,negative
53,Berita Harian,Berita Harian Berita Harian @bharianmy · Pihak berkuasa  air  Negeri Sembilan buru pelaku  pencemaran air  Sungai Linggi #BHnasional  Sehingga menjejaskan urusan harian ribuan penduduk di daerah berkenaan https:// l/2023/12/1188149/pihak-berkuasa-air-negeri-sembilan-buru-pelaku-pencemaran-air-sungai … 7 7 7 1.8K 1.8K 1.8K,berita hari berita hari  kuasa air negeri sembilan buru laku cemar air sungai linggi jejas urus hari ribu duduk daerah lpihakberkuasaairnegerisembilanburupelakupencemaranairsungai  k k k,12-12-2023 11:55,https://x.com/bharianmy/status/1734436807243350046,negative
54,Banyoe Biroe,"Banyoe Biroe Banyoe Biroe @_Banyoe · Hampir semua industri berkontribusi terhadap  pencemaran air  dan udara, jika tidak ditangani, hal ini akan menyebabkan kerusakan lingkungan yang tidak dapat diperbaiki serta timbulkan bibit penyakit, Imagine! obat yang anda minum itu dari zat senyawa berasal dari minyak bumi. 0:06 / 1:30 21 21 21 23 23 23 987 987 987",banyoe biroe banyoe biroe banyoe  industri kontribusi cemar air udara tangan sebab rusa lingkung baik timbul bibit sakit imagine obat minum zat senyawa asal minyak bumi,12-12-2023 22:43,https://x.com/_Banyoe/status/1734599890725224454,negative
58,Harian Metro,Harian Metro Harian Metro @hmetromy · #Putrajaya  Pemantauan secara keseluruhan akan terus dilaksanakan dalam mengawal  pencemaran air  sungai di seluruh negara. https:// 11/1035775/jas-terus-pantau-pencemaran-sungai-di-seluruh-negara … 1.3K 1.3K 1.3K,hari metro hari metro  pantau laksana awal cemar air sungai negara jasteruspantaupencemaransungaidiseluruhnegara  k k k,30-11-2023 15:14,https://x.com/hmetromy/status/1730138201610965330,negative
64,rafeyfâ bneran accounting,"rafeyfâ bneran accounting rafeyfâ bneran accounting @cestlafey · @szaqilak banyak sih tentang IKN,  pencemaran air  tanah,trus pembebasan lahan INTINYA LINGKUNGAN SEMUA GUE MUAK 13 13 13",rafeyf bneran accounting rafeyf bneran accounting  sih ikn cemar air tanahtrus bebas lahan inti lingkung gue muak,26-11-2023 00:31,https://x.com/cestlafey/status/1728466330607812763,negative
65,PROKAL.co,"PROKAL.co PROKAL.co @prokaldotco · Tingkat kesadaran rendah, Hanya sedikit warga yang sadar bahaya  pencemaran air  limbah di Banjarmasin. #limbah #pencemaranair #banjarmasin #kalsel https:// 4-pengelola-air-limbah-domestik-banjarmasin-kesulitan-menggaet-pelanggan.html … 10 10 10",prokalco prokalco  tingkat sadar rendah warga sadar bahaya cemar air limbah banjarmasin pengelolaairlimbahdomestikbanjarmasinkesulitanmenggaetpelangganhtml ,25-11-2023 20:00,https://x.com/prokaldotco/status/1728398138296394077,negative
66,bella⟬⟭ •,"bella⟬⟭ • bella⟬⟭ • @hopeulicious · @hopeulicious and and @tanyakanrl Aplg kalo produknya kek modelan shampoo,odol sabun2 lain yg masih utuh dibuang. Ini nyebabin  pencemaran air  sama tanah yg bisa mengancam makhluk hidup lain termasuk hewan sama tumbuhan 10 10 10",bella  bella   and and aplg kalo produk kek model shampooodol sabun yg utuh buang nyebabin cemar air tanah yg ancam makhluk hidup hewan tumbuh,25-11-2023 14:02,https://x.com/hopeulicious/status/1728308275643629763,negative
68,Niar,"Niar Niar @Danishdaniar · @ohmybeautybank Jangan pake yg gel, itu jadi nyumbat dan bikin  pencemaran air . Cari yang non gel, bersihinnya bisa pake sabun kalo masih ada noda 66 66 66",niar niar  pake yg gel nyumbat bikin cemar air cari non gel bersihinnya pake sabun kalo noda,25-11-2023 06:42,https://x.com/Danishdaniar/status/1728197460152275038,negative
69,IG: @BorobudurNews,IG: @BorobudurNews IG: @BorobudurNews @BorobudurNews_ · Sosialisasi Pengendalian  Pencemaran Air  di Sutopati Magelang  https:// ngendalian-pencemaran-air-di-sutopati-magelang/ … 1 1 1 99 99 99,ig ig  sosialisasi kendali cemar air sutopati magelang ngendalianpencemaranairdisutopatimagelang ,24-11-2023 15:47,https://x.com/BorobudurNews_/status/1727972283019579777,negative
72,#Diskominfo-SPLAHAT,"#Diskominfo-SPLAHAT #Diskominfo-SPLAHAT @kominfolahat · @kominfolahat #TahukahKamu Pencemaran air  dapat mengancam efektivitas obat-obatan terbaik kita? Ancaman resistensi antimikroba adalah masalah serius bagi manusia dan planet kita. Lindungi lingkungan kita, cegah resistensi antimikroba! #WAAW2023 #CegahResistansiAntimikroba #WAAWIndonesia2023 1 1 1 18 18 18",splahat splahat  cemar air ancam efektivitas obatobatan baik ancam resistensi antimikroba serius manusia planet lindung lingkung cegah resistensi antimikroba,23-11-2023 09:54,https://x.com/kominfolahat/status/1727521021455143114,negative
73,pemecah kuaci,"pemecah kuaci pemecah kuaci @eunikero · Orang yg katanya pny ilmu ini itu sampe hidup di hutan segala macem, apa ga mau coba manfaatin ilmu spiritual nya buat ngehukum perusak hutan Kalimantan atau penggusuran pulau Rempang atau  pencemaran air  krn buangan limbah? 

Yg ngaku berpendidikan soalnya udh kewalahan. 30 30 30",pecah kuaci pecah kuaci  orang yg pny ilmu sampe hidup hutan macem ga coba manfaatin ilmu spiritual nya ngehukum usak hutan kalimantan gusur pulau rempang cemar air krn buang limbah yg ngaku didik udh kewalahan,22-11-2023 23:35,https://x.com/eunikero/status/1727365204395311258,positive
74,WHO Indonesia,"WHO Indonesia WHO Indonesia @WHOIndonesia · @WHOIndonesia #TahukahKamu pencemaran air  dapat mengancam efektivitas obat-obatan terbaik kita? Ancaman resistansi antimikroba adalah masalah serius bagi manusia dan planet kita.  Lindungi lingkungan kita,  #CegahResistansiAntimikroba !  #WAAW2023 #WAAWIndonesia2023 #SehatUntukSemua 1 1 1 1 1 1 775 775 775",who indonesia who indonesia  cemar air ancam efektivitas obatobatan baik ancam resistansi antimikroba serius manusia planet lindung lingkung,22-11-2023 14:30,https://x.com/WHOIndonesia/status/1727228133399842961,neutral
75,KP2KP Manna,"KP2KP Manna KP2KP Manna @pajakmanna · Temankeu,  Pencemaran air  limbah bisa berbahaya bagi kesehatan masyarakat.  
Nah,  air  limbah perlu diolah dahulu nih.   
Di Palembang, ada Sistem Pengelolaan  Air  Limbah Domestik Terpusat (SPALDT).   

Yuk, disimak selengkapnya. #UangKita #UangKita @KemenkeuRI · Pencemaran air limbah bisa berdampak buruk pada kesehatan masyarakat. 

Oleh karena itu, air limbah perlu diolah terlebih dahulu sebelum dibuang.

Gimana ya cara mengolahnya? 1 1 1 15 15 15",kpkp manna kpkp manna  temankeu cemar air limbah bahaya sehat masyarakat air limbah olah nih palembang sistem kelola air limbah domestik pusat spaldt yuk simak lengkap  cemar air limbah dampak buruk sehat masyarakat air limbah olah buang gimana ya olah,21-11-2023 13:37,https://x.com/pajakmanna/status/1726852220858351630,negative
77,Angg,"Angg Angg @angprp · @angprp serta promosi praktik perikanan yang berkelanjutan dan ramah lingkungan. Aktivitas lain dari manusia yang berdampak pada wilayah pesisir ialah  pencemaran  laut oleh limbah. Pembuangan limbah industri atau limbah rumah tangga di laut/perairan dapat menyebabkan  air  tercemar, 1 1 1 1K 1K 1K",angg angg  promosi praktik ikan lanjut ramah lingkung aktivitas manusia dampak wilayah pesisir cemar laut limbah buang limbah industri limbah rumah tangga lautperairan sebab air cemar k k k,21-11-2023 00:31,https://x.com/angprp/status/1726654596838551944,negative
80,jodaksss,"jodaksss jodaksss @abcagahsjllahi · @abcagahsjllahi Akibat dari ulah manusia
tersebut akan menimbulkan terjadinnya erosi tanah dan abrasi,  pencemaran air  dan tanah, dan
hilangnya keanekaragaman hayati. 1 1 1 22 22 22",jodaksss jodaksss  akibat ulah manusia timbul terjadinnya erosi tanah abrasi cemar air tanah hilang keanekaragaman hayati,20-11-2023 22:47,https://x.com/abcagahsjllahi/status/1726628297763909987,negative
81,jodaksss,"jodaksss jodaksss @abcagahsjllahi · @abcagahsjllahi Terdapat banyak
faktor yang dapat mempengaruhi kelestarian daerah pesisir, seperti kenaikan permukaan  air  laut, pencemaran air , banjir rob, dan perubahan iklim. Untuk menjaga kelestarian daerah pesisir maka
diperlukan peran manusia dalam menjaga keberlanjutan dan kelestarian 1 1 1 29 29 29",jodaksss jodaksss  faktor pengaruh lestari daerah pesisir naik muka air laut cemar air banjir rob ubah iklim jaga lestari daerah pesisir peran manusia jaga lanjut lestari,20-11-2023 22:45,https://x.com/abcagahsjllahi/status/1726627766190407793,positive
82,maritzaalfh,"maritzaalfh maritzaalfh @devandiduy · @devandiduy Pencemaran air  juga bisa terjadi melalui limbah industry, limbah pertanian, dan sampah plastik. Pencmearan ini jika terjadi pada kurun waktu yang lama dapat mematikan biota laut, serta berdampak buruk pada Kesehatan manusia yang bergantung pada sumber daya laut. 1 1 1 20 20 20",maritzaalfh maritzaalfh  cemar air limbah industry limbah tani sampah plastik pencmearan kurun mati biota laut dampak buruk sehat manusia gantung sumber daya laut,20-11-2023 22:27,https://x.com/devandiduy/status/1726623345435976028,negative
83,gudgvrl,gudgvrl gudgvrl @strawbrrycheez · @strawbrrycheez Kegiatan-kegiatan tersebut ternyata dapat menimbulkan masalah di wilayah pesisir. Dampak yang ditimbulkan dari aktivitas manusia terhadap wilayah pesisir ialah terjadinya  pencemaran air . 1 1 1 12 12 12,gudgvrl gudgvrl  kegiatankegiatan timbul wilayah pesisir dampak timbul aktivitas manusia wilayah pesisir cemar air,20-11-2023 22:02,https://x.com/strawbrrycheez/status/1726616932290646053,neutral
86,Alif Adelia Eka Putri,"Alif Adelia Eka Putri Alif Adelia Eka Putri @alifadeliaekap · @alifadeliaekap kenaikan suhu laut, kerusakan habitat akibat pembangunan,  pencemaran air  dan udara serta tanah karena adanya limbah, kenaikan permukaan  air  laut dan abrasi, penurunan populasi ikan dan kerusakan ekosistem laut karena overfishing, rentan terhadap bencana alam karena 1 1 1 1 1 1 30 30 30",alif adelia eka putri alif adelia eka putri  naik suhu laut rusa habitat akibat bangun cemar air udara tanah limbah naik muka air laut abrasi turun populasi ikan rusa ekosistem laut overfishing rentan bencana alam,20-11-2023 21:24,https://x.com/alifadeliaekap/status/1726607546939764940,negative
88,yea,"yea yea @its_bunyy · @its_bunyy Selain itu, limbah industri, sampah plastik, dan bahan kimia berbahaya dan dapat mencemari  air  laut dan tanah di sekitar pesisir.  Pencemaran  ini tidak hanya merugikan ekosistem laut, tetapi juga dapat mengancam kesehatan manusia yang mengonsumsi hasil laut. 1 1 1 52 52 52",yea yea bunyy  bunyy limbah industri sampah plastik bahan kimia bahaya cari air laut tanah pesisir cemar rugi ekosistem laut ancam sehat manusia konsumsi hasil laut,20-11-2023 20:09,https://x.com/its_bunyy/status/1726588654674657468,negative
89,Rickkk’s,"Rickkk’s Rickkk’s @jhonerick_5 · @jhonerick_5 Wilayah pesisir seringkali terkena dampak besar polusi dari berbagai sumber, termasuk limbah industri, limpasan pertanian, dan limbah perkotaan.  Pencemaran  ini dapat merusak ekosistem laut, menurunkan kualitas  air , dan berdampak negatif terhadap kesehatan perairan dan manusia. 1 1 1 1K 1K 1K",rickkk  s rickkk  s  wilayah pesisir seringkali kena dampak polusi sumber limbah industri limpas tani limbah kota cemar rusak ekosistem laut turun kualitas air dampak negatif sehat air manusia k k k,20-11-2023 19:48,https://x.com/jhonerick_5/status/1726583207150465168,negative
91,Elisabethh,"Elisabethh Elisabethh @Elisabethhs_ · @Elisabethhs_ Akibat dari adanya pembangunan infrastruktur seperti pelabuhan, pemukiman, dan  pariwisata juga berdampak pada kualitas  air  di daerah pesisir.  Pencemaran air  akibat limbah  industri, pertanian, dan domestik dapat mengancam ekosistem pesisir dan kesehatan manusia. 1 1 1 12 12 12",elisabethh elisabethh  akibat bangun infrastruktur labuh mukim pariwisata dampak kualitas air daerah pesisir cemar air akibat limbah industri tani domestik ancam ekosistem pesisir sehat manusia,20-11-2023 19:03,https://x.com/Elisabethhs_/status/1726572030861144378,negative
93,Kompasiana,"Kompasiana Kompasiana @kompasiana · Pencemaran Air , Bagaimana Nasib Pelayan?  http:// 185 185 185",kompasiana kompasiana  cemar air nasib layan,20-11-2023 17:56,https://x.com/kompasiana/status/1726555031833575520,neutral
94,alya,"alya alya @mingyutbk · @mingyutbk Pencemaran air  merupakan masalah besar pada wilayah pesisir, termasuk juga erosi pada pulau-pulau kecil yang disebakan oleh penambangan pasir. Perpaduan antara naiknya permukaan  air  laut serta turunnya permukaan tanah turut menjadi masalah yang serius pada wilayah pesisir Jakarta 1 1 1 23 23 23",alya alya  cemar air wilayah pesisir erosi pulaupulau seba tambang pasir padu naik muka air laut turun muka tanah serius wilayah pesisir jakarta,20-11-2023 17:26,https://x.com/mingyutbk/status/1726547502185537572,negative
97,Fantastic Voyage,"Fantastic Voyage Fantastic Voyage @frenchuice · @frenchuice Rusaknya kawasan pesisir tersebut diaakibatkan oleh beberapa faktor:
1. Pembuangan limbah ke laut
Berbagai perusahaan industri terutama yang berlokasi di wilaya pesisir melakukan pembuangan limbah secara ilegal. Hal ini menimbulkan  pencemaran air  yabg berdampak pada ekosistem  air 1 1 1 25 25 25",fantastic voyage fantastic voyage  rusak kawasan pesisir diaakibatkan faktor buang limbah laut usaha industri lokasi wilaya pesisir buang limbah ilegal timbul cemar air yabg dampak ekosistem air,19-11-2023 23:41,https://x.com/frenchuice/status/1726279513947144372,negative
101,Natanael Dellas,"Natanael Dellas Natanael Dellas @natd2905 · @natd2905 Limbah yang dihasilkan oleh aktivitas manusia seperti limbah industri dan limbah plastik telah menjadi ancaman serius bagi lingkungan wilayah pesisir.  Pencemaran  ini dapat berdampak pada kehidupan biota laut, penurunan kualitas  air , kerusakan terumbu karang, dan-- 1 1 1 8 8 8",natanael dellas natanael dellas  limbah hasil aktivitas manusia limbah industri limbah plastik ancam serius lingkung wilayah pesisir cemar dampak hidup biota laut turun kualitas air rusa terumbu karang,19-11-2023 21:56,https://x.com/natd2905/status/1726253095364206969,negative
